region,year,wgs84,rd
wijk,2000,https://cartomap.github.io/nl/wgs84/wijk_2000.geojson,https://cartomap.github.io/nl/rd/wijk_2000.geojson
wijk,2001,https://cartomap.github.io/nl/wgs84/wijk_2001.geojson,https://cartomap.github.io/nl/rd/wijk_2001.geojson
wijk,2002,https://cartomap.github.io/nl/wgs84/wijk_2002.geojson,https://cartomap.github.io/nl/rd/wijk_2002.geojson
wijk,2003,https://cartomap.github.io/nl/wgs84/wijk_2003.geojson,https://cartomap.github.io/nl/rd/wijk_2003.geojson
wijk,2004,https://cartomap.github.io/nl/wgs84/wijk_2004.geojson,https://cartomap.github.io/nl/rd/wijk_2004.geojson
wijk,2005,https://cartomap.github.io/nl/wgs84/wijk_2005.geojson,https://cartomap.github.io/nl/rd/wijk_2005.geojson
wijk,2006,https://cartomap.github.io/nl/wgs84/wijk_2006.geojson,https://cartomap.github.io/nl/rd/wijk_2006.geojson
wijk,2007,https://cartomap.github.io/nl/wgs84/wijk_2007.geojson,https://cartomap.github.io/nl/rd/wijk_2007.geojson
wijk,2008,https://cartomap.github.io/nl/wgs84/wijk_2008.geojson,https://cartomap.github.io/nl/rd/wijk_2008.geojson
wijk,2009,https://cartomap.github.io/nl/wgs84/wijk_2009.geojson,https://cartomap.github.io/nl/rd/wijk_2009.geojson
wijk,2010,https://cartomap.github.io/nl/wgs84/wijk_2010.geojson,https://cartomap.github.io/nl/rd/wijk_2010.geojson
wijk,2011,https://cartomap.github.io/nl/wgs84/wijk_2011.geojson,https://cartomap.github.io/nl/rd/wijk_2011.geojson
wijk,2012,https://cartomap.github.io/nl/wgs84/wijk_2012.geojson,https://cartomap.github.io/nl/rd/wijk_2012.geojson
wijk,2013,https://cartomap.github.io/nl/wgs84/wijk_2013.geojson,https://cartomap.github.io/nl/rd/wijk_2013.geojson
wijk,2014,https://cartomap.github.io/nl/wgs84/wijk_2014.geojson,https://cartomap.github.io/nl/rd/wijk_2014.geojson
wijk,2015,https://cartomap.github.io/nl/wgs84/wijk_2015.geojson,https://cartomap.github.io/nl/rd/wijk_2015.geojson
wijk,2016,https://cartomap.github.io/nl/wgs84/wijk_2016.geojson,https://cartomap.github.io/nl/rd/wijk_2016.geojson
wijk,2017,https://cartomap.github.io/nl/wgs84/wijk_2017.geojson,https://cartomap.github.io/nl/rd/wijk_2017.geojson
wijk,2018,https://cartomap.github.io/nl/wgs84/wijk_2018.geojson,https://cartomap.github.io/nl/rd/wijk_2018.geojson
wijk,2019,https://cartomap.github.io/nl/wgs84/wijk_2019.geojson,https://cartomap.github.io/nl/rd/wijk_2019.geojson
wijk,2020,https://cartomap.github.io/nl/wgs84/wijk_2020.geojson,https://cartomap.github.io/nl/rd/wijk_2020.geojson
wijk,2021,https://cartomap.github.io/nl/wgs84/wijk_2021.geojson,https://cartomap.github.io/nl/rd/wijk_2021.geojson
wijk,2022,https://cartomap.github.io/nl/wgs84/wijk_2022.geojson,https://cartomap.github.io/nl/rd/wijk_2022.geojson
wijk,2023,https://cartomap.github.io/nl/wgs84/wijk_2023.geojson,https://cartomap.github.io/nl/rd/wijk_2023.geojson
zorgkantoorregio,2009,https://cartomap.github.io/nl/wgs84/zorgkantoorregio_2009.geojson,https://cartomap.github.io/nl/rd/zorgkantoorregio_2009.geojson
zorgkantoorregio,2010,https://cartomap.github.io/nl/wgs84/zorgkantoorregio_2010.geojson,https://cartomap.github.io/nl/rd/zorgkantoorregio_2010.geojson
